Education Level,Salary,Years of Experience,Age
Associate Degree or Short-cycle Tertiary Education,73892,5.0,29.5
Master Degree or Equivalent,52474,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,130000,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,48328,1.0,29.5
Professional Degree,11512,16.0,39.5
Bachelor Degree or Equivalent,161380,25.0,49.5
Master Degree or Equivalent,92939,5.0,39.5
Bachelor Degree or Equivalent,20296,6.0,29.5
Bachelor Degree or Equivalent,110000,29.0,59.5
Professional Degree,26780,16.0,39.5
Bachelor Degree or Equivalent,39837,1.0,21.0
Bachelor Degree or Equivalent,82000,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,92040,7.0,39.5
Bachelor Degree or Equivalent,57308,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,88251,8.0,29.5
Secondary Education,67035,2.0,39.5
Associate Degree or Short-cycle Tertiary Education,161380,12.0,29.5
Professional Degree,11052,1.0,21.0
Master Degree or Equivalent,55108,3.0,29.5
Professional Degree,68537,6.0,29.5
Bachelor Degree or Equivalent,72714,4.0,39.5
Associate Degree or Short-cycle Tertiary Education,290000,5.0,29.5
Bachelor Degree or Equivalent,174,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,940,2.0,21.0
Secondary Education,76966,36.0,49.5
Secondary Education,12851,3.0,21.0
Master Degree or Equivalent,80317,0.0,29.5
Bachelor Degree or Equivalent,59481,14.0,39.5
Master Degree or Equivalent,8387,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,20288,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,51938,7.0,29.5
Master Degree or Equivalent,72490,6.0,29.5
Master Degree or Equivalent,75521,5.0,39.5
Associate Degree or Short-cycle Tertiary Education,29484,11.0,49.5
Secondary Education,67577,10.0,29.5
Bachelor Degree or Equivalent,8247,30.0,49.5
Bachelor Degree or Equivalent,64552,21.0,39.5
Bachelor Degree or Equivalent,135000,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,43067,0.0,21.0
Bachelor Degree or Equivalent,14607,6.0,39.5
Bachelor Degree or Equivalent,39650,4.0,39.5
Associate Degree or Short-cycle Tertiary Education,165000,4.0,29.5
Bachelor Degree or Equivalent,56547,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,103035,8.0,29.5
Master Degree or Equivalent,96657,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,64072,6.0,29.5
Bachelor Degree or Equivalent,210000,28.0,49.5
Bachelor Degree or Equivalent,54777,11.0,29.5
Bachelor Degree or Equivalent,296446,2.0,21.0
Master Degree or Equivalent,86897,12.0,39.5
Bachelor Degree or Equivalent,108000,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,140000,23.0,39.5
Bachelor Degree or Equivalent,25324,9.0,29.5
Bachelor Degree or Equivalent,160800,14.0,39.5
Master Degree or Equivalent,30000,1.0,29.5
Bachelor Degree or Equivalent,6740,4.0,29.5
Master Degree or Equivalent,192000,12.0,39.5
Professional Degree,128294,7.0,39.5
Professional Degree,205110,9.0,39.5
Bachelor Degree or Equivalent,30898,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,18573,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,66916,23.0,39.5
Professional Degree,166000,15.0,39.5
Bachelor Degree or Equivalent,265000,3.0,21.0
Bachelor Degree or Equivalent,96000,2.0,29.5
Bachelor Degree or Equivalent,2500,6.0,29.5
Primary Education,104000,2.0,29.5
Master Degree or Equivalent,13303,4.0,29.5
Professional Degree,48190,20.0,39.5
Master Degree or Equivalent,70000,1.0,21.0
Master Degree or Equivalent,4000,5.0,29.5
Secondary Education,15561,3.0,21.0
Bachelor Degree or Equivalent,38952,30.0,49.5
Bachelor Degree or Equivalent,68699,6.0,29.5
Bachelor Degree or Equivalent,43302,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,260000,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,27181,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,214179,19.0,39.5
Master Degree or Equivalent,113300,6.0,39.5
Master Degree or Equivalent,406940,15.0,39.5
Secondary Education,97324,11.237177936373532,29.5
Bachelor Degree or Equivalent,31035,2.0,21.0
Bachelor Degree or Equivalent,35000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,97451,12.0,29.5
Master Degree or Equivalent,40480,1.0,21.0
Master Degree or Equivalent,200000,16.0,39.5
Master Degree or Equivalent,134933,12.0,29.5
Master Degree or Equivalent,37481,8.0,39.5
Secondary Education,8567,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,40000,23.0,49.5
Bachelor Degree or Equivalent,204828,22.0,39.5
Bachelor Degree or Equivalent,215000,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,209040,18.0,29.5
Master Degree or Equivalent,642537,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,165000,11.0,39.5
Bachelor Degree or Equivalent,34533,7.0,29.5
Bachelor Degree or Equivalent,87813,32.0,49.5
Secondary Education,128507,4.0,21.0
,74351,33.0,59.5
Associate Degree or Short-cycle Tertiary Education,50500,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,45610,8.0,39.5
Bachelor Degree or Equivalent,70152,7.0,29.5
Bachelor Degree or Equivalent,72000,0.0,29.5
Professional Degree,165000,18.0,39.5
Master Degree or Equivalent,54552,9.0,29.5
Professional Degree,163573,9.0,39.5
Secondary Education,13922,1.0,29.5
Professional Degree,130000,20.0,59.5
Master Degree or Equivalent,130000,9.0,29.5
Bachelor Degree or Equivalent,218400,16.0,39.5
Bachelor Degree or Equivalent,625260,11.0,29.5
Bachelor Degree or Equivalent,121000,7.0,39.5
Bachelor Degree or Equivalent,149446,14.0,29.5
,45354,2.0,21.0
Bachelor Degree or Equivalent,90000,13.0,29.5
Professional Degree,186207,11.0,29.5
Bachelor Degree or Equivalent,8613,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,107000,6.0,29.5
Master Degree or Equivalent,3094,10.0,49.5
Bachelor Degree or Equivalent,61469,9.0,39.5
Bachelor Degree or Equivalent,155280,13.0,39.5
Bachelor Degree or Equivalent,118869,15.0,39.5
Master Degree or Equivalent,51441,10.0,39.5
Bachelor Degree or Equivalent,15474,5.0,29.5
Secondary Education,64254,30.0,59.5
Associate Degree or Short-cycle Tertiary Education,60000,15.0,39.5
Professional Degree,176346,11.0,39.5
Primary Education,103110.08171765343,26.0,49.5
Bachelor Degree or Equivalent,32460,4.0,21.0
Bachelor Degree or Equivalent,49655,40.0,59.5
Bachelor Degree or Equivalent,63548,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,374813,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,115000,8.0,29.5
Bachelor Degree or Equivalent,9452,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,36120,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,96000,5.0,29.5
Master Degree or Equivalent,54616,10.0,29.5
Master Degree or Equivalent,39986,10.0,29.5
Professional Degree,83530,10.0,39.5
Master Degree or Equivalent,73586,8.0,29.5
Master Degree or Equivalent,117798,8.0,39.5
Bachelor Degree or Equivalent,6508,4.0,29.5
Bachelor Degree or Equivalent,30208,10.0,39.5
Professional Degree,28625,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,106000,34.0,49.5
Associate Degree or Short-cycle Tertiary Education,17175,3.0,21.0
Secondary Education,125000,24.0,39.5
Bachelor Degree or Equivalent,147000,5.0,29.5
Bachelor Degree or Equivalent,320000,44.0,59.5
Associate Degree or Short-cycle Tertiary Education,85504,28.0,49.5
Primary Education,103110.08171765343,29.0,39.5
Associate Degree or Short-cycle Tertiary Education,96657,23.0,39.5
Professional Degree,105000,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,72000,5.0,29.5
Master Degree or Equivalent,37241,3.0,29.5
Master Degree or Equivalent,101793,7.0,29.5
Master Degree or Equivalent,74483,15.0,39.5
Bachelor Degree or Equivalent,35000,0.0,29.5
Primary Education,5354,0.0,21.0
Bachelor Degree or Equivalent,122897,4.0,39.5
Associate Degree or Short-cycle Tertiary Education,137500,4.0,21.0
Associate Degree or Short-cycle Tertiary Education,40801,10.0,39.5
Master Degree or Equivalent,46780,6.0,29.5
Bachelor Degree or Equivalent,107090,23.0,49.5
Associate Degree or Short-cycle Tertiary Education,65000,8.0,29.5
Master Degree or Equivalent,147426,9.0,39.5
Associate Degree or Short-cycle Tertiary Education,180000,25.0,39.5
Professional Degree,50533,12.0,39.5
Master Degree or Equivalent,68000,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,105000,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,260000,23.0,39.5
Bachelor Degree or Equivalent,184000,13.0,39.5
Bachelor Degree or Equivalent,113000,7.0,39.5
Master Degree or Equivalent,40575,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,164000,16.0,39.5
Master Degree or Equivalent,209000,20.0,49.5
Associate Degree or Short-cycle Tertiary Education,375000,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,100000,24.0,39.5
Bachelor Degree or Equivalent,140000,20.0,49.5
Master Degree or Equivalent,211000,18.0,39.5
Master Degree or Equivalent,192414,10.0,39.5
Bachelor Degree or Equivalent,42723,4.0,29.5
Professional Degree,63460,11.0,39.5
Master Degree or Equivalent,268536,13.0,39.5
Master Degree or Equivalent,86,8.0,29.5
Master Degree or Equivalent,145403,16.0,39.5
Bachelor Degree or Equivalent,69517,6.0,39.5
Bachelor Degree or Equivalent,127,2.0,29.5
Bachelor Degree or Equivalent,90000,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,53727,4.0,29.5
Master Degree or Equivalent,58899,34.0,59.5
Associate Degree or Short-cycle Tertiary Education,248276,30.0,59.5
Secondary Education,58000,4.0,21.0
Bachelor Degree or Equivalent,101920,2.0,21.0
Bachelor Degree or Equivalent,65691,17.0,39.5
Secondary Education,26780,5.0,21.0
Primary Education,52000,2.0,21.0
Master Degree or Equivalent,54878,30.0,59.5
Associate Degree or Short-cycle Tertiary Education,80000,50.0,70.0
Secondary Education,140000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,65000,12.0,39.5
Bachelor Degree or Equivalent,96381,20.0,39.5
Secondary Education,55862,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,51403,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,49655,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,114846,19.0,39.5
Master Degree or Equivalent,270000,31.0,59.5
Bachelor Degree or Equivalent,76079,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,103000,1.0,21.0
Master Degree or Equivalent,107000,7.0,29.5
Master Degree or Equivalent,6424,6.0,29.5
Master Degree or Equivalent,50891,11.0,29.5
Bachelor Degree or Equivalent,26374,4.0,29.5
Bachelor Degree or Equivalent,142759,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,110000,14.0,49.5
Bachelor Degree or Equivalent,84000,4.0,29.5
Bachelor Degree or Equivalent,9670,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,210000,24.0,49.5
Bachelor Degree or Equivalent,57643,15.0,39.5
Master Degree or Equivalent,44503,5.0,29.5
Bachelor Degree or Equivalent,30915,4.0,29.5
Bachelor Degree or Equivalent,7852,0.0,21.0
Master Degree or Equivalent,19387,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,66916,2.0,29.5
,66916,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,2914,0.0,29.5
Master Degree or Equivalent,325000,15.0,49.5
Professional Degree,38552,10.0,29.5
Secondary Education,36000,9.0,21.0
Professional Degree,165000,21.0,49.5
Bachelor Degree or Equivalent,38774,11.0,39.5
Bachelor Degree or Equivalent,120000,11.0,39.5
Master Degree or Equivalent,160000,12.0,39.5
Bachelor Degree or Equivalent,299851,30.0,59.5
Associate Degree or Short-cycle Tertiary Education,160000,25.0,49.5
Secondary Education,59892,9.0,29.5
Master Degree or Equivalent,141518,6.0,29.5
Master Degree or Equivalent,5584,1.0,21.0
Secondary Education,64254,4.0,39.5
Master Degree or Equivalent,55285,3.0,29.5
Bachelor Degree or Equivalent,170456,5.0,49.5
,103110.08171765343,10.0,21.0
Bachelor Degree or Equivalent,214179,17.0,39.5
Master Degree or Equivalent,103110.08171765343,30.0,33.12089367216994
Bachelor Degree or Equivalent,83000,4.0,29.5
Master Degree or Equivalent,162000,30.0,49.5
Master Degree or Equivalent,186000,20.0,39.5
Professional Degree,220000,31.0,49.5
Associate Degree or Short-cycle Tertiary Education,59481,30.0,49.5
Bachelor Degree or Equivalent,47,14.0,39.5
Bachelor Degree or Equivalent,3914,2.0,21.0
Professional Degree,107000,1.0,29.5
Bachelor Degree or Equivalent,4075,1.0,29.5
Professional Degree,350000,15.0,39.5
Secondary Education,102806,6.0,29.5
Bachelor Degree or Equivalent,144000,23.0,59.5
Master Degree or Equivalent,52046,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,320000,14.0,39.5
Bachelor Degree or Equivalent,60207,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,48690,11.0,29.5
Bachelor Degree or Equivalent,165000,6.0,39.5
Bachelor Degree or Equivalent,149925,4.0,29.5
Bachelor Degree or Equivalent,81000,2.0,29.5
Master Degree or Equivalent,159856,16.0,39.5
Bachelor Degree or Equivalent,34277,1.0,29.5
Associate Degree or Short-cycle Tertiary Education,37127,9.0,29.5
Bachelor Degree or Equivalent,139000,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,117798,12.0,29.5
Associate Degree or Short-cycle Tertiary Education,180000,30.0,59.5
Bachelor Degree or Equivalent,164599,28.0,49.5
Bachelor Degree or Equivalent,60000,16.0,39.5
Bachelor Degree or Equivalent,44981,7.0,29.5
Master Degree or Equivalent,75004,6.0,29.5
Bachelor Degree or Equivalent,242,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,132,26.0,49.5
,103110.08171765343,15.0,70.0
Bachelor Degree or Equivalent,81349,12.0,29.5
Master Degree or Equivalent,77339,18.0,39.5
Master Degree or Equivalent,103110.08171765343,30.0,39.5
Bachelor Degree or Equivalent,1820,2.0,21.0
Bachelor Degree or Equivalent,29614,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,174000,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,96000,14.0,39.5
Bachelor Degree or Equivalent,200000,24.0,39.5
Master Degree or Equivalent,95705,22.0,39.5
Associate Degree or Short-cycle Tertiary Education,2,0.0,21.0
Bachelor Degree or Equivalent,57000,1.0,39.5
Master Degree or Equivalent,81931,16.0,39.5
Secondary Education,400000,27.0,49.5
Associate Degree or Short-cycle Tertiary Education,99311,13.0,29.5
Bachelor Degree or Equivalent,156000,19.0,39.5
Associate Degree or Short-cycle Tertiary Education,151525,11.0,39.5
Secondary Education,45831,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,35000,1.0,29.5
Bachelor Degree or Equivalent,40893,4.0,39.5
Secondary Education,13262,3.0,21.0
Bachelor Degree or Equivalent,16230,11.237177936373532,39.5
Master Degree or Equivalent,76564,17.0,39.5
Bachelor Degree or Equivalent,4058,2.0,21.0
Master Degree or Equivalent,10000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,75000,10.0,29.5
Master Degree or Equivalent,195000,6.0,39.5
Bachelor Degree or Equivalent,48000,40.0,59.5
Associate Degree or Short-cycle Tertiary Education,101793,8.0,29.5
Bachelor Degree or Equivalent,155934,1.0,21.0
Bachelor Degree or Equivalent,141969,13.0,39.5
Bachelor Degree or Equivalent,52500,1.0,29.5
Secondary Education,5112,2.0,21.0
Bachelor Degree or Equivalent,160634,28.0,49.5
Master Degree or Equivalent,117903,16.0,39.5
Master Degree or Equivalent,247250,24.0,39.5
Master Degree or Equivalent,120000,26.0,49.5
Master Degree or Equivalent,108736,5.0,29.5
Bachelor Degree or Equivalent,147000,18.0,49.5
Master Degree or Equivalent,290000,16.0,39.5
,38552,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,76000,2.0,29.5
Master Degree or Equivalent,27480,16.0,39.5
Bachelor Degree or Equivalent,124138,3.0,21.0
Master Degree or Equivalent,43067,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,111724,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,12851,5.0,29.5
Bachelor Degree or Equivalent,107668,12.0,39.5
Professional Degree,155280,25.0,59.5
Associate Degree or Short-cycle Tertiary Education,213000,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,5356,1.0,21.0
Bachelor Degree or Equivalent,485,6.0,29.5
Bachelor Degree or Equivalent,39724,10.0,39.5
Professional Degree,99311,3.0,39.5
Bachelor Degree or Equivalent,198621,13.0,39.5
Secondary Education,27310,1.0,21.0
Master Degree or Equivalent,21418,24.0,59.5
Bachelor Degree or Equivalent,78000,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,12414,2.0,21.0
Bachelor Degree or Equivalent,690420,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,85000,6.0,29.5
Bachelor Degree or Equivalent,40159,11.0,29.5
Master Degree or Equivalent,55285,4.0,29.5
Bachelor Degree or Equivalent,206000,0.0,29.5
Bachelor Degree or Equivalent,63008,4.0,29.5
Master Degree or Equivalent,89972,12.0,29.5
Master Degree or Equivalent,105517,21.0,39.5
Bachelor Degree or Equivalent,2882,3.0,21.0
Master Degree or Equivalent,35503,2.0,29.5
Bachelor Degree or Equivalent,102456,4.0,29.5
Secondary Education,33517,3.0,29.5
Bachelor Degree or Equivalent,220000,4.0,49.5
Bachelor Degree or Equivalent,65000,6.0,21.0
Bachelor Degree or Equivalent,46098,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,128000,3.0,39.5
Bachelor Degree or Equivalent,77339,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,43122,1.0,21.0
Master Degree or Equivalent,31800,6.0,29.5
Bachelor Degree or Equivalent,135000,9.0,39.5
Bachelor Degree or Equivalent,124000,7.0,39.5
Master Degree or Equivalent,260000,10.0,29.5
Secondary Education,48190,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,25384,5.0,29.5
Bachelor Degree or Equivalent,90000,0.0,21.0
Bachelor Degree or Equivalent,91862,10.0,29.5
Bachelor Degree or Equivalent,13390,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,92939,26.0,49.5
Bachelor Degree or Equivalent,1430,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,77372,2.0,21.0
Secondary Education,84000,1.0,29.5
Master Degree or Equivalent,350,4.0,29.5
Bachelor Degree or Equivalent,91520,1.0,29.5
Bachelor Degree or Equivalent,1085,3.0,29.5
Bachelor Degree or Equivalent,41464,2.0,29.5
Bachelor Degree or Equivalent,42000,14.0,39.5
Secondary Education,150000,36.0,70.0
Master Degree or Equivalent,81150,8.0,29.5
Bachelor Degree or Equivalent,85504,3.0,39.5
Associate Degree or Short-cycle Tertiary Education,92000,5.0,29.5
Professional Degree,51403,10.0,39.5
Bachelor Degree or Equivalent,123423,6.0,39.5
Bachelor Degree or Equivalent,75000,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,3652,0.0,39.5
Master Degree or Equivalent,8500,10.0,29.5
Master Degree or Equivalent,72000,1.0,29.5
Bachelor Degree or Equivalent,110424,4.0,29.5
Bachelor Degree or Equivalent,122500,6.0,29.5
Professional Degree,250000,27.0,59.5
Master Degree or Equivalent,185000,13.0,29.5
Master Degree or Equivalent,62115,4.0,29.5
Bachelor Degree or Equivalent,500000,1.0,21.0
Bachelor Degree or Equivalent,40146,5.0,29.5
Bachelor Degree or Equivalent,33962,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,186000,22.0,39.5
Bachelor Degree or Equivalent,40966,3.0,29.5
